# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) # 3143.310 us |                          } /* _raw_spin_unlock_bh */
 0) * 11535.64 us |                        } /* release_sock */
 0) * 70068.35 us |                      } /* tcp_sendmsg */
 0) * 70068.35 us |                    } /* inet_sendmsg */
 0) * 70129.39 us |                  } /* __sock_sendmsg */
 0) * 70129.39 us |                } /* sock_sendmsg */
 0) * 70800.78 us |              } /* xs_sendpages */
 0) * 70831.29 us |            } /* xs_tcp_send_request */
 0)               |            _raw_spin_lock() {
 0)   0.000 us    |              preempt_count_add();
 0)   0.000 us    |            }
 0)               |            _raw_spin_unlock() {
 0) + 30.518 us   |              preempt_count_sub();
 0) + 30.518 us   |            }
 0)               |            _raw_spin_lock() {
 0)   0.000 us    |              preempt_count_add();
 0)   0.000 us    |            }
 0) + 30.517 us   |            xprt_request_dequeue_transmit_locked();
 0)               |            _raw_spin_unlock() {
 0)   0.000 us    |              preempt_count_sub();
 0)   0.000 us    |            }
 0)   0.000 us    |            rpc_wake_up_queued_task_set_status();
 0)               |            _raw_spin_lock() {
 0)   0.000 us    |              preempt_count_add();
 0) + 30.518 us   |            }
 0)   0.000 us    |            xprt_unpin_rqst();
 0)               |            _raw_spin_unlock() {
 0)   0.000 us    |              preempt_count_sub();
 0) + 30.517 us   |            }
 0) @ 206451.4 us |          } /* xprt_transmit */
 0)               |          xprt_end_transmit() {
 0)               |            _raw_spin_lock() {
 0)   0.000 us    |              preempt_count_add();
 0)   0.000 us    |            }
 0)               |            xprt_release_xprt() {
 0)   0.000 us    |              xprt_clear_locked();
 0)               |              __xprt_lock_write_next() {
 0)               |                rpc_wake_up_first_on_wq() {
 0)               |                  _raw_spin_lock() {
 0)   0.000 us    |                    preempt_count_add();
 0)   0.000 us    |                  }
 0)               |                  rpc_wake_up_task_on_wq_queue_action_locked() {
 0)   0.000 us    |                    __xprt_lock_write_func();
 0)               |                    rpc_make_runnable() {
 0)               |                      queue_work_on() {
 0)               |                        __queue_work() {
 0) + 30.518 us   |                          __rcu_read_lock();
 0)   0.000 us    |                          get_work_pool();
 0)               |                          _raw_spin_lock() {
 0)   0.000 us    |                            preempt_count_add();
 0)   0.000 us    |                          }
 0)               |                          insert_work() {
 0)   0.000 us    |                            get_pwq();
 0)               |                            wake_up_process() {
 0)               |                              try_to_wake_up() {
 0)   0.000 us    |                                preempt_count_add();
 0)               |                                _raw_spin_lock_irqsave() {
 0) + 30.517 us   |                                  preempt_count_add();
 0) + 30.517 us   |                                }
 0)               |                                _raw_spin_lock() {
 0)   0.000 us    |                                  preempt_count_add();
 0)   0.000 us    |                                }
 0)   0.000 us    |                                update_rq_clock();
 0)               |                                ttwu_do_activate() {
 0)               |                                  activate_task() {
 0)               |                                    psi_task_change() {
 0)   0.000 us    |                                      record_times.constprop.6();
 0)   0.000 us    |                                    }
 0)               |                                    enqueue_task_fair() {
 0)               |                                      enqueue_entity() {
 0)               |                                        update_curr() {
 0)   0.000 us    |                                          update_min_vruntime();
 0)               |                                          cpuacct_charge() {
 0)   0.000 us    |                                            __rcu_read_lock();
 0) + 30.518 us   |                                            __rcu_read_unlock();
 0) + 30.518 us   |                                          }
 0)   0.000 us    |                                          __rcu_read_lock();
 0)   0.000 us    |                                          __rcu_read_unlock();
 0) + 30.518 us   |                                        }
 0)               |                                        __update_load_avg_se() {
 0)   0.000 us    |                                          __accumulate_pelt_segments();
 0) + 30.518 us   |                                        }
 0)               |                                        __update_load_avg_cfs_rq() {
 0)   0.000 us    |                                          __accumulate_pelt_segments();
 0)   0.000 us    |                                        }
 0)               |                                        sugov_update_single() {
 0)   0.000 us    |                                          sugov_iowait_boost();
 0)   0.000 us    |                                          cpufreq_this_cpu_can_update();
 0)   0.000 us    |                                          tick_nohz_get_idle_calls_cpu();
 0)               |                                          sugov_get_util() {
 0)   0.000 us    |                                            schedutil_cpu_util();
 0) + 30.518 us   |                                          }
 0)               |                                          _raw_spin_lock() {
 0)   0.000 us    |                                            preempt_count_add();
 0)   0.000 us    |                                          }
 0)               |                                          _raw_spin_unlock() {
 0)   0.000 us    |                                            preempt_count_sub();
 0) + 30.517 us   |                                          }
 0) + 61.035 us   |                                        }
 0)   0.000 us    |                                        update_cfs_group();
 0)   0.000 us    |                                        account_entity_enqueue();
 0) + 30.518 us   |                                        place_entity();
 0)   0.000 us    |                                        check_spread();
 0)   0.000 us    |                                        __enqueue_entity();
 0) ! 183.106 us  |                                      }
 0)   0.000 us    |                                      hrtick_update();
 0) ! 244.140 us  |                                    }
 0) ! 244.140 us  |                                  }
 0)               |                                  ttwu_do_wakeup() {
 0)               |                                    check_preempt_curr() {
 0)               |                                      check_preempt_wakeup() {
 0)   0.000 us    |                                        update_curr();
 0)               |                                        wakeup_preempt_entity() {
 0)   0.000 us    |                                          __calc_delta();
 0) + 30.518 us   |                                        }
 0)   0.000 us    |                                        set_next_buddy();
 0)   0.000 us    |                                        resched_curr();
 0) + 30.518 us   |                                      }
 0) + 61.036 us   |                                    }
 0) + 61.036 us   |                                  }
 0) ! 305.176 us  |                                }
 0)               |                                _raw_spin_unlock() {
 0)   0.000 us    |                                  preempt_count_sub();
 0)   0.000 us    |                                }
 0)               |                                _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                  preempt_count_sub();
 0) + 30.517 us   |                                }
 0)   0.000 us    |                                preempt_count_sub();
 0) ! 396.728 us  |                              }
 0) ! 396.728 us  |                            }
 0) ! 427.246 us  |                          }
 0)               |                          _raw_spin_unlock() {
 0)   0.000 us    |                            preempt_count_sub();
 0)   0.000 us    |                          }
 0)   0.000 us    |                          __rcu_read_unlock();
 0) ! 488.282 us  |                        }
 0) ! 488.282 us  |                      }
 0) ! 488.282 us  |                    }
 0) ! 518.799 us  |                  }
 0)               |                  _raw_spin_unlock() {
 0)   0.000 us    |                    preempt_count_sub();
 0)   0.000 us    |                  }
 0) ! 549.316 us  |                }
 0) ! 549.316 us  |              }
 0) ! 579.834 us  |            }
 0)               |            _raw_spin_unlock() {
 0)               |              preempt_count_sub() {
 0)               |              rcu_note_context_switch() {
 0)               |                rcu_preempt_deferred_qs() {
 0)   0.000 us    |                  rcu_preempt_need_deferred_qs();
 0)   0.000 us    |                }
 0) + 30.517 us   |                rcu_qs();
 0) + 30.517 us   |              }
 0)               |              _raw_spin_lock() {
 0)   0.000 us    |                preempt_count_add();
 0)   0.000 us    |              }
 0)   0.000 us    |              update_rq_clock();
 0)               |              pick_next_task_fair() {
 0)   0.000 us    |                update_curr();
 0)   0.000 us    |                check_cfs_rq_runtime();
 0)               |                pick_next_entity() {
 0)   0.000 us    |                  wakeup_preempt_entity();
 0)   0.000 us    |                  clear_buddies();
 0) + 30.518 us   |                }
 0)               |                put_prev_entity() {
 0)   0.000 us    |                  update_curr();
 0)   0.000 us    |                  check_cfs_rq_runtime();
 0)   0.000 us    |                  check_spread();
 0)   0.000 us    |                  __enqueue_entity();
 0)               |                  __update_load_avg_se() {
 0)   0.000 us    |                    __accumulate_pelt_segments();
 0)   0.000 us    |                  }
 0)   0.000 us    |                  __update_load_avg_cfs_rq();
 0) + 61.035 us   |                }
 0)               |                set_next_entity() {
 0)   0.000 us    |                  __update_load_avg_se();
 0) + 30.517 us   |                  __update_load_avg_cfs_rq();
 0) + 30.517 us   |                }
 0) ! 122.070 us  |              }
 0)               |              atomic_notifier_call_chain() {
 0)   0.000 us    |                __rcu_read_lock();
 0)               |                notifier_call_chain() {
 0) + 30.518 us   |                  vfp_notifier();
 0)   0.000 us    |                  thumbee_notifier();
 0) + 30.518 us   |                }
 0)   0.000 us    |                __rcu_read_unlock();
 0) + 30.518 us   |              }
 ------------------------------------------
 0)   kworker-7    =>  kworker-114  
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)               |      _raw_spin_unlock_irq() {
 0)   ==========> |
 0)               |        omap_intc_handle_irq() {
 0)               |          __handle_domain_irq() {
 0)               |            irq_enter() {
 0)   0.000 us    |              rcu_irq_enter();
 0)   0.000 us    |              preempt_count_add();
 0) + 30.517 us   |            }
 0)   0.000 us    |            irq_find_mapping();
 0)               |            generic_handle_irq() {
 0)               |              handle_level_irq() {
 0)               |                _raw_spin_lock() {
 0)   0.000 us    |                  preempt_count_add();
 0) + 30.518 us   |                }
 0)               |                mask_irq.part.5() {
 0)               |                  irq_gc_mask_disable_reg() {
 0)               |                    _raw_spin_lock() {
 0)   0.000 us    |                      preempt_count_add();
 0)   0.000 us    |                    }
 0) + 30.517 us   |                    arm_heavy_mb();
 0)               |                    _raw_spin_unlock() {
 0)   0.000 us    |                      preempt_count_sub();
 0)   0.000 us    |                    }
 0) + 30.517 us   |                  }
 0) + 30.517 us   |                }
 0)               |                omap_mask_ack_irq() {
 0)               |                  irq_gc_mask_disable_reg() {
 0)               |                    _raw_spin_lock() {
 0)   0.000 us    |                      preempt_count_add();
 0)   0.000 us    |                    }
 0)   0.000 us    |                    arm_heavy_mb();
 0)               |                    _raw_spin_unlock() {
 0)   0.000 us    |                      preempt_count_sub();
 0) + 30.517 us   |                    }
 0) + 30.517 us   |                  }
 0) + 61.035 us   |                }
 0)   0.000 us    |                irq_may_run();
 0)               |                handle_irq_event() {
 0)               |                  _raw_spin_unlock() {
 0)   0.000 us    |                    preempt_count_sub();
 0)   0.000 us    |                  }
 0)               |                  handle_irq_event_percpu() {
 0)               |                    __handle_irq_event_percpu() {
 0)               |                      omap2_gp_timer_interrupt() {
 0)               |                        hrtimer_interrupt() {
 0)               |                          _raw_spin_lock_irqsave() {
 0)   0.000 us    |                            preempt_count_add();
 0)   0.000 us    |                          }
 0)   0.000 us    |                          ktime_get_update_offsets_now();
 0)               |                          __hrtimer_run_queues() {
 0) + 30.517 us   |                            __remove_hrtimer();
 0)               |                            _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                              preempt_count_sub();
 0)   0.000 us    |                            }
 0)               |                            ehci_hrtimer_func() {
 0)               |                              _raw_spin_lock_irqsave() {
