# tracer: function
#
# entries-in-buffer/entries-written: 5981/5981   #P:1
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
           sleep-725     [000] d..2 64762.954407: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=R+ ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.954529: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.954529: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.955139: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.956055: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.956177: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.956207: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.956879: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.957672: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.957916: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.957977: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.958038: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.958710: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.959503: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.959656: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.959686: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.960236: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.961029: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.961182: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.961212: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.961945: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=R+ ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.962006: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.962036: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.962128: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.962433: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.962616: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.963226: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.963928: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.964081: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.964874: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.965576: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.965851: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.965912: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.966583: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.967316: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.967468: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.968079: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.968933: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.969086: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.969635: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.969818: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.969879: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.974060: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.974121: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.978027: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.978058: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.042023: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64763.042084: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.046051: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.046570: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=D ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.046661: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.046722: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=D ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.046783: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.046875: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=D ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
